"","text"
"124","The only people I can respect for hating @KingJames and the Cavs are Raptors and their fans. Every year this man de‚Ä¶ https://t.co/QlYN8JZ8tV"
"125","RT @SInow: LeBron really can score from anywhere Ì†ΩÌ∏≥ https://t.co/HDdgjbSXut"
"126","@juliomiguelsant @TenchyRodEspn @Pacers @Raptors @celtics Tu ere Lebronboyz Ustedes eran Cavs , despues miami , aho‚Ä¶ https://t.co/UaVgArDlE2"
"127","Wife comes downstairs and sees the Cavs/Raptors score and says ‚ÄúOh no not this again, when is it over?‚Äù 

I said it‚Ä¶ https://t.co/jNNcChYxEE"
"128","#Cavs up 30, LeBron calls timeout and heads to bench."
"129","RT @cavs: Ì†ΩÌ≤Ø

Ì†ΩÌ≥ä: https://t.co/ADV7HTvD90
Ì†ΩÌ≥∏: https://t.co/wpWBxE10T7

#WhateverItTakes https://t.co/P3O6Jns4xn"
"130","Cavs are up by 30 and Lebron is still in the game?"
"131","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"132","RT @TomerAzarly: LeBron James vs. DeMar DeRozan and Kyle Lowry IN THE SERIES! Wow. #Cavs #Raptors #WhateverItTakes #WeTheNorth https://t.co‚Ä¶"
"133","RT @cavs: Ì†ΩÌ∏Ø #WhateverItTakes https://t.co/6abNW1LlVn"
"134","Well the Cavs made a statement tonight!!"
"135","Nigga Lebron fans was saying the Cavs was sorry!! They still suck the East just trash, them niggas getting smacked‚Ä¶ https://t.co/edtDb5ez0l"
"136","NBA playoffs live: LeBron James, Cavs surge to end first half, and Raptors are on the ropes https://t.co/bHavznnu9g https://t.co/xJED9DrcW0"
"137","RT @TrashTalk_fr: √áa va √™tre incroyable, quand John Wall va d√©clarer cet √©t√© que les Wizards auraient tap√© les Cavs s‚Äôils s‚Äô√©taient qualifi‚Ä¶"
"138","Not sure why they'd leave LBJ in... He's played too many minutes already. #Cavs #CavsRaptors #NBAPlayoffs"
"139","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"140","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"141","The Cavs are simply the best!Ì†ºÌøÄ"
